"product_id","channel","sales_amount","price_category","transaction_year","sales_transaction_date"
"4","internet","115000","Premium","2017","2017-04-14 12:28:01"
"9","internet","35000","Standard","2017","2017-04-26 20:18:23"
"10","internet","68600","Premium","2017","2017-07-24 15:45:41"
"9","internet","31500","Standard","2018","2018-11-13 18:13:53"
"6","dealership","65500","Premium","2018","2018-04-21 17:28:41"
"6","internet","65500","Premium","2017","2017-04-29 11:12:56"
"9","dealership","35000","Standard","2019","2019-01-16 07:07:41"
"4","dealership","115000","Premium","2017","2017-11-10 04:38:10"
"10","dealership","77175","Premium","2018","2018-06-03 19:50:32"
"9","internet","35000","Standard","2017","2017-02-16 11:34:01"
"9","internet","35000","Standard","2018","2018-04-28 21:52:52"
"9","internet","35000","Standard","2019","2019-01-13 07:02:59"
"9","internet","35000","Standard","2018","2018-11-12 10:58:28"
"10","internet","85750","Premium","2018","2018-07-16 22:13:39"
"9","dealership","35000","Standard","2018","2018-01-13 16:16:24"
"9","dealership","35000","Standard","2018","2018-06-08 18:10:25"
"11","dealership","76000","Premium","2019","2019-03-29 19:32:35"
"9","dealership","35000","Standard","2018","2018-10-26 02:47:47"
"10","dealership","85750","Premium","2019","2019-04-24 19:57:21"
"9","dealership","35000","Standard","2018","2018-04-24 07:28:47"
"6","internet","65500","Premium","2017","2017-10-03 22:58:52"
"4","dealership","115000","Premium","2018","2018-10-19 08:22:30"
"9","dealership","28000","Standard","2017","2017-06-23 03:35:58"
"10","dealership","85750","Premium","2018","2018-11-29 13:38:27"
"4","dealership","103500","Premium","2017","2017-01-15 06:07:45"
"10","internet","77175","Premium","2019","2019-05-06 02:53:20"
"9","dealership","31500","Standard","2017","2017-12-11 15:34:44"
"9","dealership","35000","Standard","2018","2018-07-24 18:29:27"
"4","internet","115000","Premium","2017","2017-11-22 20:26:24"
"6","internet","58950","Premium","2017","2017-10-20 19:15:40"
"4","internet","103500","Premium","2018","2018-08-28 13:56:33"
"6","dealership","65500","Premium","2017","2017-07-15 21:13:45"
"9","dealership","31500","Standard","2018","2018-11-27 16:11:59"
"10","internet","85750","Premium","2018","2018-08-09 06:13:38"
"10","internet","68600","Premium","2018","2018-04-09 11:15:22"
"6","internet","65500","Premium","2017","2017-04-03 21:09:17"
"4","dealership","92000","Premium","2018","2018-09-21 16:47:28"
"10","internet","85750","Premium","2017","2017-02-23 20:34:11"
"9","internet","35000","Standard","2017","2017-07-13 06:39:02"
