"model","model_year","product_type","sales_transaction_date","total_daily_sales","cumulative_sales","model_and_year"
"Blade","2014","scooter","2014-06-26 01:23:25","699.99","699.99","Blade 2014"
"Blade","2014","scooter","2014-06-26 03:10:29","559.9920000000001","1259.982","Blade 2014"
"Blade","2014","scooter","2014-06-27 23:30:35","629.991","1889.973","Blade 2014"
"Blade","2014","scooter","2014-06-29 12:23:30","699.99","2589.9629999999997","Blade 2014"
"Blade","2014","scooter","2014-07-01 17:21:55","629.991","3219.9539999999997","Blade 2014"
"Blade","2014","scooter","2014-07-06 11:34:01","699.99","3919.9439999999995","Blade 2014"
"Blade","2014","scooter","2014-07-07 10:58:02","629.991","4549.9349999999995","Blade 2014"
"Blade","2014","scooter","2014-07-11 07:42:56","699.99","5249.924999999999","Blade 2014"
"Blade","2014","scooter","2014-07-11 09:00:05","699.99","5949.914999999999","Blade 2014"
"Blade","2014","scooter","2014-07-14 03:43:10","699.99","6649.904999999999","Blade 2014"
"Blade","2014","scooter","2014-07-14 10:04:27","699.99","7349.894999999999","Blade 2014"
"Blade","2014","scooter","2014-07-15 12:31:17","699.99","8049.884999999998","Blade 2014"
"Blade","2014","scooter","2014-07-16 18:37:52","629.991","8679.875999999998","Blade 2014"
"Blade","2014","scooter","2014-07-16 22:11:37","699.99","9379.865999999998","Blade 2014"
"Blade","2014","scooter","2014-07-19 18:31:07","699.99","10079.855999999998","Blade 2014"
"Blade","2014","scooter","2014-07-21 09:30:06","699.99","10779.845999999998","Blade 2014"
"Blade","2014","scooter","2014-07-22 10:07:27","629.991","11409.836999999998","Blade 2014"
"Blade","2014","scooter","2014-07-23 02:25:54","629.991","12039.827999999998","Blade 2014"
"Blade","2014","scooter","2014-07-29 07:07:31","699.99","12739.817999999997","Blade 2014"
"Blade","2014","scooter","2014-07-30 10:55:37","699.99","13439.807999999997","Blade 2014"
"Blade","2014","scooter","2014-08-02 02:46:10","699.99","14139.797999999997","Blade 2014"
"Blade","2014","scooter","2014-08-02 06:54:29","699.99","14839.787999999997","Blade 2014"
"Blade","2014","scooter","2014-08-02 07:41:02","559.9920000000001","15399.779999999997","Blade 2014"
